Data_Registro;Tensao_Fase_RS_V;Tensao_Fase_ST_V;Tensao_Fase_TR_V;Corrente_Fase_R_A;Corrente_Fase_S_A;Corrente_Fase_T_A;Demanda_kW;Potencia-Ativa_kW
2022-07-27 17:36:02.660;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 17:36:02.667;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 17:36:02.670;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 17:36:02.673;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 17:36:02.680;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 17:36:02.683;439;440;442;201;221;213;1451;-25753
2022-07-27 17:36:02.690;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 18:36:02.703;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 18:36:02.710;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 18:36:02.720;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 18:36:02.730;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 18:36:02.737;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 18:36:02.740;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 18:36:02.740;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 18:36:02.743;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 18:36:02.750;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 18:36:02.753;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 18:36:02.760;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 18:36:02.763;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 18:36:02.770;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 18:36:02.773;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 18:36:02.780;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 18:36:02.783;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 18:36:02.790;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 18:36:02.793;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 18:36:02.803;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 18:36:02.807;425;429;436;545;599;626;1546;-25586
2022-07-27 18:36:02.810;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 19:36:02.800;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 19:36:02.810;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 19:36:02.810;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 19:36:02.817;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 19:36:02.840;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 19:36:02.843;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 19:36:02.850;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 19:36:02.870;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 19:36:02.873;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 19:36:02.877;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 19:36:02.883;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 19:36:02.890;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
2022-07-27 19:36:02.897;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
